uID,variable1,variable2,factor
1774,0.4,2,SameKiss
1775,0,2,SameKiss
1776,0.4,2,SameKiss
1777,0,6,SameKiss
1779,0.2,1,SameKiss
1781,0.6,6,SameKiss
1782,0.8,4,SameKiss
1783,0.1,3,SameKiss
1784,0.8,3,SameKiss
1787,0.5,3,SameKiss
1788,0.1,3,SameKiss
1789,0.2,5,SameKiss
1791,0.2,5,SameKiss
1792,0.3,3,SameKiss
1795,0.1,2,SameKiss
1798,0.4,4,SameKiss
1801,0.5,3,SameKiss
1804,0.1,3,SameKiss
1817,0.3,2,SameKiss
1818,0.1,7,SameKiss
1820,0.2,2,SameKiss
1823,0.5,4,SameKiss
1826,0.7,4,SameKiss
1827,0.2,3,SameKiss
1828,0.1,3,SameKiss
1829,0.5,4,SameKiss
1831,0.6,5,SameKiss
1832,0.5,2,SameKiss
1833,0.2,2,SameKiss
1834,0.4,1,SameKiss
1836,0.1,2,SameKiss
1837,0.6,2,SameKiss
1838,0.4,4,SameKiss
1841,0.5,3,SameKiss
1842,0.3,2,SameKiss
1848,0.4,5,SameKiss
1849,0.2,3,SameKiss
1850,0.7,4,SameKiss
1853,0.2,6,SameKiss
1856,0.3,3,SameKiss
1859,0.3,5,SameKiss
1862,0.4,2,SameKiss
1868,0.5,6,SameKiss
1869,0.3,2,SameKiss
1870,0.1,2,SameKiss
1871,0.3,5,SameKiss
1872,0,1,SameKiss
1873,0.2,2,SameKiss
1874,0.1,5,SameKiss
1875,0,6,SameKiss
1882,0,3,SameKiss
1885,0.3,5,SameKiss
1888,0.3,2,SameKiss
1894,0,5,SameKiss
1900,0.4,1,SameKiss
1904,0.3,1,SameKiss
1907,0.3,5,SameKiss
1909,0.2,5,SameKiss
1914,0.4,3,SameKiss
1915,0.1,1,SameKiss
1917,0.2,2,SameKiss
1919,0,4,SameKiss
1921,0.6,1,SameKiss
1924,0.4,3,SameKiss
1925,0.2,1,SameKiss
1927,0.4,4,SameKiss
1928,0,4,SameKiss
1934,0.4,2,SameKiss
1936,0.1,1,SameKiss
1938,0.3,1,SameKiss
1941,0.2,5,SameKiss
1944,0.8,3,SameKiss
1945,0.5,2,SameKiss
1946,0.3,7,SameKiss
1947,0.5,2,SameKiss
1948,0.7,2,SameKiss
1949,0.4,2,SameKiss
1950,0.4,2,SameKiss
1951,0.6,3,SameKiss
1952,0.1,2,SameKiss
1954,0.4,6,SameKiss
1957,0.4,1,SameKiss
1959,0.1,3,SameKiss
1961,0.4,2,SameKiss
1963,0.4,2,SameKiss
1964,0.6,6,SameKiss
1965,0.5,2,SameKiss
1971,0.7,3,SameKiss
1972,0.6,6,SameKiss
1975,0.6,2,SameKiss
1977,0.3,1,SameKiss
1979,0.4,3,SameKiss
1980,0.8,2,SameKiss
1981,0.1,1,SameKiss
1983,0.3,2,SameKiss
1984,0.2,1,SameKiss
1985,0.2,2,SameKiss
1986,0.3,2,SameKiss
1991,0.1,6,SameKiss
