uID,CounterBalance,Prominent2nd,Prominent1st,Asymmetry
1449,CBA,15.3,12.6363636363636,2.66363636363636
1451,CBA,8,11.2727272727273,-3.27272727272727
1454,CBA,10,8.63636363636364,1.36363636363636
1460,CBA,11.4,11.7272727272727,-0.327272727272726
1467,CBA,8.6,8.72727272727273,-0.127272727272727
1469,CBB,11.7272727272727,13.8,-2.07272727272727
1472,CBB,11.7272727272727,12.5,-0.772727272727273
1476,CBB,10.1818181818182,10.4,-0.218181818181819
1477,CBB,5.27272727272727,5.7,-0.427272727272728
1482,CBB,8.63636363636364,8.3,0.336363636363636
1488,CBB,9.54545454545454,8.7,0.845454545454546
1489,CBA,12.3,11.4545454545455,0.845454545454546
1492,CBB,10.0909090909091,12.8,-2.70909090909091
1494,CBB,10.1818181818182,10.3,-0.118181818181819
1495,CBA,11.8,10.1818181818182,1.61818181818182
1497,CBA,4.1,3.45454545454545,0.645454545454545
1501,CBA,19,19,0
1504,CBA,14.1,13.4545454545455,0.645454545454545
1508,CBB,3.09090909090909,5.4,-2.30909090909091
1512,CBB,9.81818181818182,9.7,0.118181818181819
1515,CBA,9,9.45454545454546,-0.454545454545455
1516,CBA,11.7,7.72727272727273,3.97272727272727
1520,CBB,11.3636363636364,9.5,1.86363636363636
1522,CBA,11.5,11,0.5
1523,CBA,12.5,13.4545454545455,-0.954545454545455
1524,CBA,13.6,13.1818181818182,0.418181818181818
1531,CBB,12.8181818181818,15,-2.18181818181818
1532,CBB,9.54545454545454,10.2,-0.654545454545454
1533,CBA,9.9,8.18181818181818,1.71818181818182
1534,CBB,15.7272727272727,16.5,-0.772727272727273
1536,CBB,11.1818181818182,13.3,-2.11818181818182
1537,CBA,10.5,8.90909090909091,1.59090909090909
1538,CBA,9.3,9.90909090909091,-0.609090909090908
1539,CBB,10,10,0
1542,CBA,8.5,7.45454545454545,1.04545454545455
1543,CBB,12.8181818181818,13.3,-0.481818181818182
1544,CBB,7,6.4,0.6
1548,CBB,17.5454545454545,11.9,5.64545454545455
1551,CBA,3.2,4.27272727272727,-1.07272727272727
1552,CBA,11.4,10.2727272727273,1.12727272727273
1553,CBB,13.3636363636364,14.1,-0.736363636363636
1554,CBA,9.7,9.09090909090909,0.609090909090908
1555,CBB,8.72727272727273,10,-1.27272727272727
