"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"706","263","MichiganStateUniversity","Light Clipboard",6,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"707","264","MichiganStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"708","265","MichiganStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"710","267","MichiganStateUniversity","Light Clipboard",4,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"711","268","MichiganStateUniversity","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"712","269","MichiganStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","Asian-American","Pass"
"713","27","MichiganStateUniversity","Light Clipboard",4,"Include","21","Senior","Male","Other","Pass"
"714","270","MichiganStateUniversity","Heavy Clipboard",5,"Include",NA,NA,NA,NA,NA
"715","271","MichiganStateUniversity","Light Clipboard",5,"Include","23","Other","Male","White, non-Hispanic or latino","Pass"
"716","272","MichiganStateUniversity","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"717","273","MichiganStateUniversity","Light Clipboard",6,"Include","20","Junior","Male","White, non-Hispanic or latino","Fail"
"719","275","MichiganStateUniversity","Light Clipboard",5,"Include","20","Junior","Female","Other","Fail"
"720","276","MichiganStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"721","277","MichiganStateUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"724","28","MichiganStateUniversity","Heavy Clipboard",5,"Include","18","Sophomore","Male","African-American","Pass"
"725","280","MichiganStateUniversity","Heavy Clipboard",5,"Include","22","Junior","Male","Asian-American","Fail"
"726","281","MichiganStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"727","282","MichiganStateUniversity","Heavy Clipboard",5,"Include",NA,NA,NA,NA,NA
"728","283","MichiganStateUniversity","Light Clipboard",7,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"729","284","MichiganStateUniversity","Heavy Clipboard",2,"Include","20","Sophomore","Female","Other","Fail"
"731","286","MichiganStateUniversity","Heavy Clipboard",5,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"732","287","MichiganStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","African-American","Fail"
"733","288","MichiganStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"734","289","MichiganStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","Asian-American","Pass"
"735","29","MichiganStateUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"736","290","MichiganStateUniversity","Heavy Clipboard",5,"Include","19","Other","Female","White, non-Hispanic or latino","Fail"
"737","291","MichiganStateUniversity","Light Clipboard",5,"Include","21","Senior","Female","White, non-Hispanic or latino","Fail"
"739","293","MichiganStateUniversity","Light Clipboard",6,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"740","294","MichiganStateUniversity","Heavy Clipboard",5,"Include","18","First-year","Female","African-American","Fail"
"741","295","MichiganStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"743","297","MichiganStateUniversity","Light Clipboard",7,"Include","20","Junior","Male","Asian-American","Pass"
"744","298","MichiganStateUniversity","Heavy Clipboard",6,"Include","21","Senior","Female",NA,"Fail"
"745","299","MichiganStateUniversity","Light Clipboard",6,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"746","3","MichiganStateUniversity","Light Clipboard",7,"Include","20","Junior","Female","White, non-Hispanic or latino","Fail"
"747","30","MichiganStateUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"748","300","MichiganStateUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Female","Latino or Hispanic","Fail"
"749","301","MichiganStateUniversity","Light Clipboard",6,"Include","19","First-year","Female","Asian-American","Fail"
"751","303","MichiganStateUniversity","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"752","304","MichiganStateUniversity","Heavy Clipboard",6,"Include","20","First-year","Male","Asian-American","Pass"
"753","304","MichiganStateUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"754","305","MichiganStateUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"756","307","MichiganStateUniversity","Light Clipboard",6,"Include","21","Junior","Male","White, non-Hispanic or latino","Fail"
"757","308","MichiganStateUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"759","31","MichiganStateUniversity","Light Clipboard",5,"Include","21","Senior","Female","White, non-Hispanic or latino","Fail"
"761","311","MichiganStateUniversity","Light Clipboard",5,"Include","19","First-year","Male","Other","Fail"
"762","312","MichiganStateUniversity","Heavy Clipboard",6,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"763","313","MichiganStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"765","315","MichiganStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"766","316","MichiganStateUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"767","317","MichiganStateUniversity","Light Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"769","319","MichiganStateUniversity","Light Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"770","32","MichiganStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"772","34","MichiganStateUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","Latino or Hispanic","Pass"
"773","35","MichiganStateUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"774","36","MichiganStateUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","Asian-American","Fail"
"775","37","MichiganStateUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"776","38","MichiganStateUniversity","Heavy Clipboard",2,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"777","39","MichiganStateUniversity","Light Clipboard",6,"Include",NA,"Sophomore","Male","White, non-Hispanic or latino","Fail"
"778","4","MichiganStateUniversity","Heavy Clipboard",7,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"779","40","MichiganStateUniversity","Heavy Clipboard",6,"Include","20","Junior","Female","Multiracial","Pass"
"780","41","MichiganStateUniversity","Heavy Clipboard",7,"Include","19","Junior","Female","White, non-Hispanic or latino","Pass"
"781","42","MichiganStateUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"782","43","MichiganStateUniversity","Light Clipboard",3,"Include","22","Senior","Female","Other","Fail"
"783","44","MichiganStateUniversity","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"784","45","MichiganStateUniversity","Light Clipboard",6,"Include","20","Junior","Male","Native Hawaiian and other Pacific Islander","Pass"
"788","49","MichiganStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"789","5","MichiganStateUniversity","Light Clipboard",7,"Include","19","Junior","Male","Asian-American","Pass"
