"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"933","31","MontanaStateUniversity","Light Clipboard",6,"Include","27","Sophomore","Female","Other","Fail"
"934","32","MontanaStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"935","33","MontanaStateUniversity","Light Clipboard",5,"Include","21","Sophomore","Female","White, non-Hispanic or latino","Fail"
"936","34","MontanaStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Male","Latino or Hispanic","Pass"
"937","35","MontanaStateUniversity","Light Clipboard",6,"Include","19","Sophomore","Female","Native American and Alaska Native","Pass"
"938","36","MontanaStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"939","37","MontanaStateUniversity","Light Clipboard",7,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"940","38","MontanaStateUniversity","Heavy Clipboard",5,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"941","39","MontanaStateUniversity","Light Clipboard",1,"Include","22","Sophomore","Male","White, non-Hispanic or latino","Pass"
"942","40","MontanaStateUniversity","Heavy Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"944","42","MontanaStateUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"945","43","MontanaStateUniversity","Light Clipboard",3,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"947","45","MontanaStateUniversity","Light Clipboard",6,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Fail"
"950","48","MontanaStateUniversity","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"951","49","MontanaStateUniversity","Light Clipboard",7,"Include","18","Sophomore","Female","Latino or Hispanic","Fail"
"952","50","MontanaStateUniversity","Heavy Clipboard",5,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"953","51","MontanaStateUniversity","Light Clipboard",6,"Include","25","First-year","Female","White, non-Hispanic or latino","Fail"
"954","52","MontanaStateUniversity","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"955","53","MontanaStateUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"956","54","MontanaStateUniversity","Heavy Clipboard",5,"Include",NA,NA,NA,NA,NA
"957","56","MontanaStateUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"958","57","MontanaStateUniversity","Light Clipboard",6,"Include","25","Other","Male","White, non-Hispanic or latino","Pass"
"959","58","MontanaStateUniversity","Heavy Clipboard",6,"Include","22","Junior","Male","White, non-Hispanic or latino","Fail"
"960","59","MontanaStateUniversity","Light Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
