"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"5382",2482869,"tamuon","allowed","does not support banning anti-democratic speeches"
"5383",2482872,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5384",2482873,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5385",2482896,"tamuon","allowed","does not support banning anti-democratic speeches"
"5386",2482963,"tamuon","allowed","does not support banning anti-democratic speeches"
"5387",2483014,"tamuon","allowed","does not support banning anti-democratic speeches"
"5388",2483023,"tamuon","allowed","support banning anti-democratic speeches"
"5389",2483048,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5390",2483106,"tamuon","allowed","support banning anti-democratic speeches"
"5391",2483122,"tamuon","allowed","does not support banning anti-democratic speeches"
"5392",2483153,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5393",2483216,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5394",2483254,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5395",2483287,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5396",2483350,"tamuon","allowed","does not support banning anti-democratic speeches"
"5397",2483383,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5398",2483409,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5399",2483427,"tamuon","allowed","does not support banning anti-democratic speeches"
"5400",2483517,"tamuon","allowed","support banning anti-democratic speeches"
"5401",2483521,"tamuon","allowed","support banning anti-democratic speeches"
"5403",2483530,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5404",2483561,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5405",2483762,"tamuon","allowed","does not support banning anti-democratic speeches"
"5406",2483763,"tamuon","allowed","does not support banning anti-democratic speeches"
"5407",2483822,"tamuon","allowed","does not support banning anti-democratic speeches"
"5408",2483859,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5409",2483890,"tamuon","allowed","support banning anti-democratic speeches"
"5410",2483893,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5411",2483927,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5412",2483931,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5413",2483954,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5414",2484034,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5415",2484041,"tamuon","forbidden","support banning anti-democratic speeches"
"5416",2484047,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5417",2484072,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5418",2484075,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5419",2484080,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5420",2484087,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5421",2484092,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5422",2484167,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5423",2484302,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5424",2484815,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5425",2484836,"tamuon","allowed","does not support banning anti-democratic speeches"
"5426",2485094,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5427",2485219,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5428",2485261,"tamuon","allowed","support banning anti-democratic speeches"
