uID,variable1,variable2,factor
1827,0.2,2,SameKiss
1829,0.6,2,SameKiss
1831,0.7,2,SameKiss
1832,0.6,2,SameKiss
1833,0.3,2,SameKiss
1834,0.4,2,SameKiss
1848,0.5,2,SameKiss
1849,0.2,2,SameKiss
1850,0.8,2,SameKiss
1873,0.3,2,SameKiss
1875,0,2,SameKiss
1882,0,2,SameKiss
1885,0.3,2,SameKiss
1888,0.4,2,SameKiss
1894,0,2,SameKiss
1900,0.5,2,SameKiss
1626,0,2,DiffKiss
1635,0.4,1,DiffKiss
1636,0.3,1,DiffKiss
1638,0.2,2,DiffKiss
1641,0.9,2,DiffKiss
1711,0,2,DiffKiss
1714,0,2,DiffKiss
1755,0.2,2,DiffKiss
1757,0.1,1,DiffKiss
1759,0.1,2,DiffKiss
1760,0.3,2,DiffKiss
1761,0,2,DiffKiss
1762,0.4,1,DiffKiss
1763,0.2,2,DiffKiss
1764,0.3,2,DiffKiss
1767,0.4,2,DiffKiss
1768,0.3,2,DiffKiss
1769,0.2,2,DiffKiss
1778,0.6,2,DiffKiss
1802,0.5,2,DiffKiss
1803,0.5,2,DiffKiss
1805,0.2,1,DiffKiss
1806,0,2,DiffKiss
1807,0.2,2,DiffKiss
1808,0.2,2,DiffKiss
1809,0.4,2,DiffKiss
1810,0.3,2,DiffKiss
1811,0.2,2,DiffKiss
1812,0.2,1,DiffKiss
1814,0.2,1,DiffKiss
1815,0.4,2,DiffKiss
1816,0,2,DiffKiss
1819,0.3,2,DiffKiss
1821,0.1,2,DiffKiss
1822,0.2,2,DiffKiss
1824,0.8,1,DiffKiss
1825,0.1,2,DiffKiss
1830,0.7,2,DiffKiss
1847,0.2,1,DiffKiss
1851,0.2,2,DiffKiss
1852,0.5,2,DiffKiss
1854,0.8,1,DiffKiss
1858,0.2,2,DiffKiss
1877,0.1,2,DiffKiss
1878,0.1,2,DiffKiss
1879,0.3,2,DiffKiss
1880,0.2,1,DiffKiss
1881,0.2,2,DiffKiss
1883,0.5,1,DiffKiss
1887,0.1,2,DiffKiss
1889,0.7,2,DiffKiss
1890,0.4,2,DiffKiss
1895,0.5,1,DiffKiss
