"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck"
"725","280","MichiganStateUniversity","Communal",72,"22","Junior","Male","Asian-American","Fail"
"726","281","MichiganStateUniversity","Agentic",73,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"728","283","MichiganStateUniversity","Communal",68,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"729","284","MichiganStateUniversity","Agentic",70,"20","Sophomore","Female","Other","Fail"
"730","285","MichiganStateUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"731","286","MichiganStateUniversity","Communal",65,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"732","287","MichiganStateUniversity","Communal",65,"18","First-year","Female","African-American","Fail"
"733","288","MichiganStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"734","289","MichiganStateUniversity","Agentic",65,"18","First-year","Female","Asian-American","Pass"
"735","29","MichiganStateUniversity","Communal",70,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"736","290","MichiganStateUniversity","Agentic",70,"19","Other","Female","White, non-Hispanic or latino","Fail"
"737","291","MichiganStateUniversity","Communal",58,"21","Senior","Female","White, non-Hispanic or latino","Fail"
"739","293","MichiganStateUniversity","Communal",68,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"740","294","MichiganStateUniversity","Agentic",78,"18","First-year","Female","African-American","Fail"
"741","295","MichiganStateUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"742","296","MichiganStateUniversity","Communal",65,"21","Senior","Female","African-American","Fail"
"743","297","MichiganStateUniversity","Agentic",70,"20","Junior","Male","Asian-American","Pass"
"744","298","MichiganStateUniversity","Communal",65,"21","Senior","Female",NA,"Fail"
"745","299","MichiganStateUniversity","Communal",68,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"746","3","MichiganStateUniversity","Agentic",68,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"747","30","MichiganStateUniversity","Communal",68,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"748","300","MichiganStateUniversity","Communal",65,"19","Sophomore","Female","Latino or Hispanic","Fail"
"749","301","MichiganStateUniversity","Communal",70,"19","First-year","Female","Asian-American","Fail"
"750","302","MichiganStateUniversity","Agentic",70,"19","Sophomore","Male","White, non-Hispanic or latino",NA
"752","304","MichiganStateUniversity","Communal",55,"20","First-year","Male","Asian-American","Pass"
