"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck"
"3456","130","UniversityOfVirginia","Agentic",70,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"3457","131","UniversityOfVirginia","Agentic",73,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3458","132","UniversityOfVirginia","Communal",75,"18","First-year","Male","Asian-American","Fail"
"3459","133","UniversityOfVirginia","Communal",65,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"3460","134","UniversityOfVirginia","Communal",65,"19","First-year","Male","Latino or Hispanic","Pass"
"3461","135","UniversityOfVirginia","Agentic",72,NA,NA,NA,NA,NA
"3463","137","UniversityOfVirginia","Agentic",68,"18","First-year","Female","Latino or Hispanic","Pass"
"3464","138","UniversityOfVirginia","Agentic",72,"20","Junior","Female","Multiracial","Fail"
"3465","139","UniversityOfVirginia","Communal",68,"19","First-year","Male","Asian-American","Pass"
"3467","140","UniversityOfVirginia","Communal",70,"19","Sophomore",NA,"White, non-Hispanic or latino","Pass"
"3469","142","UniversityOfVirginia","Communal",70,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"3473","146","UniversityOfVirginia","Communal",72,"18","First-year","Male","Multiracial","Pass"
"3474","147","UniversityOfVirginia","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3475","148","UniversityOfVirginia","Communal",72,"19","Sophomore","Female","Asian-American","Pass"
"3476","149","UniversityOfVirginia","Communal",77,NA,NA,NA,NA,NA
"3478","150","UniversityOfVirginia","Agentic",72,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"3479","151","UniversityOfVirginia","Communal",71,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3480","152","UniversityOfVirginia","Agentic",75,"18","First-year","Female","Asian-American","Fail"
"3481","153","UniversityOfVirginia","Agentic",72,"22","Senior","Female","Multiracial","Fail"
"3482","154","UniversityOfVirginia","Agentic",72,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3483","155","UniversityOfVirginia","Agentic",70,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3484","156","UniversityOfVirginia","Agentic",70,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"3485","157","UniversityOfVirginia","Communal",70,"19","First-year","Male","Other","Fail"
"3486","158","UniversityOfVirginia","Communal",72,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"3487","159","UniversityOfVirginia","Communal",60,"18","First-year","Female","Other","Fail"
"3489","161","UniversityOfVirginia","Agentic",75,"20","Junior","Female","Asian-American","Pass"
"3490","162","UniversityOfVirginia","Agentic",70,"18","First-year","Male","Asian-American","Fail"
"3491","163","UniversityOfVirginia","Communal",71,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"3492","164","UniversityOfVirginia","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3493","165","UniversityOfVirginia","Communal",70,"19","First-year","Female","African-American","Pass"
"3494","166","UniversityOfVirginia","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3495","167","UniversityOfVirginia","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3496","168","UniversityOfVirginia","Communal",73,"20","Junior","Male","White, non-Hispanic or latino","Pass"
